COUNTRY	ECDC
Mauritania	Mauritania
Mauritania	Mauritania
Mauritania	Mauritania
Mauritania	Mauritania
Morocco	Morocco
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Mozambique	Mozambique
Namibia	Namibia
Namibia	Namibia
Namibia	Namibia
Namibia	Namibia
Namibia	Namibia
Namibia	Namibia
Namibia	Namibia
Niger	Niger
Nigeria	Nigeria
Nigeria	Nigeria
Nigeria	Nigeria
Nigeria	Nigeria
Rwanda	Rwanda
Sao Tome and Principe	NA
Sao Tome and Principe	NA
Sao Tome and Principe	NA
Sao Tome and Principe	NA
Sao Tome and Principe	NA
Senegal	Senegal
Senegal	Senegal
Senegal	Senegal
Senegal	Senegal
Senegal	Senegal
Senegal	Senegal
Sierra Leone	Sierra_Leone
Sierra Leone	Sierra_Leone
Sierra Leone	Sierra_Leone
Sierra Leone	Sierra_Leone
Sierra Leone	Sierra_Leone
Sierra Leone	Sierra_Leone
Sierra Leone	Sierra_Leone
Sierra Leone	Sierra_Leone
Sierra Leone	Sierra_Leone
Sierra Leone	Sierra_Leone
Sierra Leone	Sierra_Leone
Sierra Leone	Sierra_Leone
Sierra Leone	Sierra_Leone
Sierra Leone	Sierra_Leone
Sierra Leone	Sierra_Leone
Sierra Leone	Sierra_Leone
Sierra Leone	Sierra_Leone
Sierra Leone	Sierra_Leone
Sierra Leone	Sierra_Leone
Sierra Leone	Sierra_Leone
Sierra Leone	Sierra_Leone
Sierra Leone	Sierra_Leone
Sierra Leone	Sierra_Leone
Sierra Leone	Sierra_Leone
Sierra Leone	Sierra_Leone
Sierra Leone	Sierra_Leone
Sierra Leone	Sierra_Leone
Sierra Leone	Sierra_Leone
Sierra Leone	Sierra_Leone
Sierra Leone	Sierra_Leone
Sierra Leone	Sierra_Leone
Somalia	Somalia
Somalia	Somalia
Somalia	Somalia
Somalia	Somalia
Somalia	Somalia
Somalia	Somalia
Somalia	Somalia
Somalia	Somalia
Somalia	Somalia
Somalia	Somalia
Somalia	Somalia
Somalia	Somalia
Somalia	Somalia
Somalia	Somalia
Somalia	Somalia
South Africa	South_Africa
South Africa	South_Africa
South Africa	South_Africa
South Africa	South_Africa
South Africa	South_Africa
South Africa	South_Africa
South Africa	South_Africa
South Africa	South_Africa
South Africa	South_Africa
South Africa	South_Africa
South Africa	South_Africa
South Africa	South_Africa
Sudan	Sudan
Swaziland	Eswatini
Tanzania	United_Republic_of_Tanzania
Tanzania	United_Republic_of_Tanzania
Tanzania	United_Republic_of_Tanzania
Tanzania	United_Republic_of_Tanzania
Tanzania	United_Republic_of_Tanzania
Tanzania	United_Republic_of_Tanzania
Tanzania	United_Republic_of_Tanzania
Tanzania	United_Republic_of_Tanzania
Tanzania	United_Republic_of_Tanzania
Tanzania	United_Republic_of_Tanzania
Tanzania	United_Republic_of_Tanzania
Tanzania	United_Republic_of_Tanzania
Tanzania	United_Republic_of_Tanzania
Tanzania	United_Republic_of_Tanzania
Tanzania	United_Republic_of_Tanzania
Tanzania	United_Republic_of_Tanzania
Tanzania	United_Republic_of_Tanzania
Tanzania	United_Republic_of_Tanzania
Tanzania	United_Republic_of_Tanzania
Tanzania	United_Republic_of_Tanzania
Tanzania	United_Republic_of_Tanzania
Tanzania	United_Republic_of_Tanzania
Tanzania	United_Republic_of_Tanzania
Tanzania	United_Republic_of_Tanzania
Tanzania	United_Republic_of_Tanzania
Tanzania	United_Republic_of_Tanzania
Tanzania	United_Republic_of_Tanzania
Tanzania	United_Republic_of_Tanzania
Tanzania	United_Republic_of_Tanzania
Tanzania	United_Republic_of_Tanzania
Tanzania	United_Republic_of_Tanzania
Tanzania	United_Republic_of_Tanzania
Tanzania	United_Republic_of_Tanzania
Tanzania	United_Republic_of_Tanzania
Tanzania	United_Republic_of_Tanzania
Tanzania	United_Republic_of_Tanzania
Tanzania	United_Republic_of_Tanzania
Tanzania	United_Republic_of_Tanzania
Tanzania	United_Republic_of_Tanzania
Tanzania	United_Republic_of_Tanzania
Tanzania	United_Republic_of_Tanzania
Tanzania	United_Republic_of_Tanzania
Tanzania	United_Republic_of_Tanzania
Tanzania	United_Republic_of_Tanzania
Tanzania	United_Republic_of_Tanzania
Tanzania	United_Republic_of_Tanzania
Tanzania	United_Republic_of_Tanzania
Tanzania	United_Republic_of_Tanzania
Tanzania	United_Republic_of_Tanzania
Tanzania	United_Republic_of_Tanzania
Tanzania	United_Republic_of_Tanzania
Tanzania	United_Republic_of_Tanzania
Togo	Togo
Tunisia	Tunisia
Tunisia	Tunisia
Tunisia	Tunisia
Tunisia	Tunisia
Uganda	Uganda
Western Sahara	NA
Zambia	Zambia
Zimbabwe	Zimbabwe
